Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
11-PELA,5,15.088,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-PELA,7,9.823,8.0,4.0,-1.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,1,30.491,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,3,22.868,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,5,19.175,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F1/9,7,14.538,8.0,4.0,-1.0,-1.0,10.11,1.0,9.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,1,34.106,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,3,27.741,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,5,25.697,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
11-F3/7,7,22.004,8.0,4.0,-1.0,-1.0,10.11,3.0,7.0,-1.0,-1.0,-1.0,-1.0,,11.7,,15.0,,,,0,1.0,0.6,20.0,
