Feature,Day,Urea,Cell,Coat,Cell Seeding,Co-Cell Seeding
spheroid-13,32,,8.0,1.0,0.2,-1.0
spheroid-13,33,,8.0,1.0,0.2,-1.0
spheroid-13,34,,8.0,1.0,0.2,-1.0
spheroid-13,35,,8.0,1.0,0.2,-1.0
spheroid-13,36,,8.0,1.0,0.2,-1.0
spheroid-13,37,,8.0,1.0,0.2,-1.0
spheroid-13,38,,8.0,1.0,0.2,-1.0
spheroid-13,39,,8.0,1.0,0.2,-1.0
spheroid-13,40,,8.0,1.0,0.2,-1.0
spheroid-13,41,,8.0,1.0,0.2,-1.0
spheroid-13,42,,8.0,1.0,0.2,-1.0
spheroid-13,43,,8.0,1.0,0.2,-1.0
spheroid-13,44,,8.0,1.0,0.2,-1.0
spheroid-13,45,,8.0,1.0,0.2,-1.0
spheroid-13,46,,8.0,1.0,0.2,-1.0
spheroid-13,47,,8.0,1.0,0.2,-1.0
spheroid-13,48,,8.0,1.0,0.2,-1.0
spheroid-13,49,,8.0,1.0,0.2,-1.0
spheroid-13,50,,8.0,1.0,0.2,-1.0
spheroid-13,51,,8.0,1.0,0.2,-1.0
spheroid-13,52,,8.0,1.0,0.2,-1.0
spheroid-13,53,,8.0,1.0,0.2,-1.0
spheroid-13,54,,8.0,1.0,0.2,-1.0
spheroid-13,55,,8.0,1.0,0.2,-1.0
spheroid-13,56,,8.0,1.0,0.2,-1.0
spheroid-13,57,,8.0,1.0,0.2,-1.0
spheroid-13,58,,8.0,1.0,0.2,-1.0
spheroid-13,59,,8.0,1.0,0.2,-1.0
spheroid-13,60,,8.0,1.0,0.2,-1.0
chip-3,4,,10.0,-1.0,0.1,-1.0
chip-3,5,,10.0,-1.0,0.1,-1.0
chip-3,6,,10.0,-1.0,0.1,-1.0
chip-3,7,,10.0,-1.0,0.1,-1.0
chip-3,8,,10.0,-1.0,0.1,-1.0
chip-3,9,,10.0,-1.0,0.1,-1.0
chip-3,10,,10.0,-1.0,0.1,-1.0
chip-3,11,,10.0,-1.0,0.1,-1.0
chip-3,12,,10.0,-1.0,0.1,-1.0
chip-3,13,,10.0,-1.0,0.1,-1.0
chip-3,14,,10.0,-1.0,0.1,-1.0
chip-3,15,,10.0,-1.0,0.1,-1.0
chip-3,16,,10.0,-1.0,0.1,-1.0
chip-3,17,,10.0,-1.0,0.1,-1.0
chip-3,18,,10.0,-1.0,0.1,-1.0
chip-3,19,,10.0,-1.0,0.1,-1.0
chip-3,20,,10.0,-1.0,0.1,-1.0
chip-3,21,,10.0,-1.0,0.1,-1.0
chip-3,22,,10.0,-1.0,0.1,-1.0
chip-3,23,,10.0,-1.0,0.1,-1.0
chip-3,24,,10.0,-1.0,0.1,-1.0
chip-3,25,,10.0,-1.0,0.1,-1.0
chip-3,26,,10.0,-1.0,0.1,-1.0
chip-3,27,,10.0,-1.0,0.1,-1.0
chip-3,28,,10.0,-1.0,0.1,-1.0
chip-3,29,,10.0,-1.0,0.1,-1.0
chip-3,30,,10.0,-1.0,0.1,-1.0
chip-3,31,,10.0,-1.0,0.1,-1.0
chip-3,32,,10.0,-1.0,0.1,-1.0
chip-3,33,,10.0,-1.0,0.1,-1.0
chip-3,34,,10.0,-1.0,0.1,-1.0
chip-3,35,,10.0,-1.0,0.1,-1.0
chip-3,36,,10.0,-1.0,0.1,-1.0
chip-3,37,,10.0,-1.0,0.1,-1.0
chip-3,38,,10.0,-1.0,0.1,-1.0
chip-3,39,,10.0,-1.0,0.1,-1.0
chip-3,40,,10.0,-1.0,0.1,-1.0
chip-3,41,,10.0,-1.0,0.1,-1.0
chip-3,42,,10.0,-1.0,0.1,-1.0
chip-3,43,,10.0,-1.0,0.1,-1.0
chip-3,44,,10.0,-1.0,0.1,-1.0
chip-3,45,,10.0,-1.0,0.1,-1.0
chip-3,46,,10.0,-1.0,0.1,-1.0
chip-3,47,,10.0,-1.0,0.1,-1.0
chip-3,48,,10.0,-1.0,0.1,-1.0
chip-3,49,,10.0,-1.0,0.1,-1.0
chip-3,50,,10.0,-1.0,0.1,-1.0
chip-3,51,,10.0,-1.0,0.1,-1.0
chip-3,52,,10.0,-1.0,0.1,-1.0
chip-3,53,,10.0,-1.0,0.1,-1.0
chip-3,54,,10.0,-1.0,0.1,-1.0
chip-3,55,,10.0,-1.0,0.1,-1.0
chip-3,56,,10.0,-1.0,0.1,-1.0
chip-3,57,,10.0,-1.0,0.1,-1.0
chip-3,58,,10.0,-1.0,0.1,-1.0
chip-3,59,,10.0,-1.0,0.1,-1.0
chip-3,60,,10.0,-1.0,0.1,-1.0
chip-4,1,,8.0,1.0,0.2,-1.0
chip-4,3,,8.0,1.0,0.2,-1.0
chip-4,4,,8.0,1.0,0.2,-1.0
chip-4,6,,8.0,1.0,0.2,-1.0
chip-4,7,,8.0,1.0,0.2,-1.0
chip-4,8,,8.0,1.0,0.2,-1.0
chip-4,10,,8.0,1.0,0.2,-1.0
chip-4,11,,8.0,1.0,0.2,-1.0
chip-4,12,,8.0,1.0,0.2,-1.0
chip-4,14,,8.0,1.0,0.2,-1.0
chip-4,15,,8.0,1.0,0.2,-1.0
chip-4,16,,8.0,1.0,0.2,-1.0
chip-4,17,,8.0,1.0,0.2,-1.0
chip-4,18,,8.0,1.0,0.2,-1.0
chip-4,19,,8.0,1.0,0.2,-1.0
chip-4,20,,8.0,1.0,0.2,-1.0
chip-4,21,,8.0,1.0,0.2,-1.0
chip-4,22,,8.0,1.0,0.2,-1.0
chip-4,23,,8.0,1.0,0.2,-1.0
chip-4,24,,8.0,1.0,0.2,-1.0
chip-4,25,,8.0,1.0,0.2,-1.0
chip-4,26,,8.0,1.0,0.2,-1.0
chip-4,27,,8.0,1.0,0.2,-1.0
chip-4,28,,8.0,1.0,0.2,-1.0
chip-4,29,,8.0,1.0,0.2,-1.0
chip-4,30,,8.0,1.0,0.2,-1.0
chip-4,31,,8.0,1.0,0.2,-1.0
chip-4,32,,8.0,1.0,0.2,-1.0
chip-4,33,,8.0,1.0,0.2,-1.0
chip-4,34,,8.0,1.0,0.2,-1.0
chip-4,35,,8.0,1.0,0.2,-1.0
chip-4,36,,8.0,1.0,0.2,-1.0
chip-4,37,,8.0,1.0,0.2,-1.0
chip-4,38,,8.0,1.0,0.2,-1.0
chip-4,39,,8.0,1.0,0.2,-1.0
chip-4,40,,8.0,1.0,0.2,-1.0
chip-4,41,,8.0,1.0,0.2,-1.0
chip-4,42,,8.0,1.0,0.2,-1.0
chip-4,43,,8.0,1.0,0.2,-1.0
chip-4,44,,8.0,1.0,0.2,-1.0
chip-4,45,,8.0,1.0,0.2,-1.0
chip-4,46,,8.0,1.0,0.2,-1.0
chip-4,47,,8.0,1.0,0.2,-1.0
chip-4,48,,8.0,1.0,0.2,-1.0
chip-4,49,,8.0,1.0,0.2,-1.0
chip-4,50,,8.0,1.0,0.2,-1.0
chip-4,51,,8.0,1.0,0.2,-1.0
chip-4,52,,8.0,1.0,0.2,-1.0
chip-4,53,,8.0,1.0,0.2,-1.0
chip-4,54,,8.0,1.0,0.2,-1.0
chip-4,55,,8.0,1.0,0.2,-1.0
chip-4,56,,8.0,1.0,0.2,-1.0
chip-4,57,,8.0,1.0,0.2,-1.0
chip-4,58,,8.0,1.0,0.2,-1.0
chip-4,59,,8.0,1.0,0.2,-1.0
chip-4,60,,8.0,1.0,0.2,-1.0
chip-5,1,,8.0,-1.0,1.0,-1.0
chip-5,2,,8.0,-1.0,1.0,-1.0
chip-5,4,,8.0,-1.0,1.0,-1.0
chip-5,5,,8.0,-1.0,1.0,-1.0
chip-5,6,,8.0,-1.0,1.0,-1.0
chip-5,8,,8.0,-1.0,1.0,-1.0
chip-5,9,,8.0,-1.0,1.0,-1.0
chip-5,10,,8.0,-1.0,1.0,-1.0
chip-5,11,,8.0,-1.0,1.0,-1.0
chip-5,12,,8.0,-1.0,1.0,-1.0
chip-5,13,,8.0,-1.0,1.0,-1.0
chip-5,14,,8.0,-1.0,1.0,-1.0
chip-5,15,,8.0,-1.0,1.0,-1.0
chip-5,16,,8.0,-1.0,1.0,-1.0
chip-5,17,,8.0,-1.0,1.0,-1.0
chip-5,18,,8.0,-1.0,1.0,-1.0
chip-5,19,,8.0,-1.0,1.0,-1.0
chip-5,20,,8.0,-1.0,1.0,-1.0
chip-5,21,,8.0,-1.0,1.0,-1.0
chip-5,22,,8.0,-1.0,1.0,-1.0
chip-5,23,,8.0,-1.0,1.0,-1.0
chip-5,24,,8.0,-1.0,1.0,-1.0
