Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
1-PHH,15,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,16,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,17,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,18,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,19,,8,0.02,-1,,2,-1,-1,0,1
1-PHH,20,,8,0.02,-1,,2,-1,-1,0,1
1-HepaRG,1,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,2,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,3,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,5,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,6,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,8,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,9,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,10,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,11,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,12,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,13,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,15,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,16,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,17,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,18,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,19,,6,0.02,-1,,2,-1,-1,0,1
1-HepaRG,20,,6,0.02,-1,,2,-1,-1,0,1
2-spheroid,1,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,2,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,3,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,4,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,5,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,6,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,7,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,8,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,9,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,10,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,11,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,12,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,13,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,14,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,15,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,16,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,17,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,19,,19,0.025,-1,109.5,2,-1,-1,0,1
2-spheroid,20,,19,0.025,-1,109.5,2,-1,-1,0,1
2-bioreactor,1,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,2,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,3,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,4,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,5,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,6,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,7,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,8,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,9,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,10,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,11,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,12,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,13,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,14,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,15,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,16,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,17,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,19,,19,80,-1,109.5,2,-1,6,50,1
2-bioreactor,20,,19,80,-1,109.5,2,-1,6,50,1
3-MPCC,1,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,2,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,4,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,5,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,6,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,7,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,8,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,9,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,10,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,11,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,12,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,13,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,14,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,16,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,17,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,18,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,19,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,20,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,21,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,22,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,23,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,24,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,25,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,26,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,27,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPCC,28,,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPH,1,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,2,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,4,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,5,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,6,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,7,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,8,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,9,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,10,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,11,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,12,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,13,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,14,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,16,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,17,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,18,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,19,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,20,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,21,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,22,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,23,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,24,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,25,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,26,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,27,,6,0.1,-1,,2,-1,-1,0,1
3-MPH,28,,6,0.1,-1,,2,-1,-1,0,1
3-CC,1,,6,1,-1,,2,-1,-1,0,1
3-CC,2,,6,1,-1,,2,-1,-1,0,1
3-CC,4,,6,1,-1,,2,-1,-1,0,1
3-CC,5,,6,1,-1,,2,-1,-1,0,1
3-CC,6,,6,1,-1,,2,-1,-1,0,1
3-CC,7,,6,1,-1,,2,-1,-1,0,1
3-CC,8,,6,1,-1,,2,-1,-1,0,1
3-CC,9,,6,1,-1,,2,-1,-1,0,1
3-CC,10,,6,1,-1,,2,-1,-1,0,1
3-CC,11,,6,1,-1,,2,-1,-1,0,1
3-CC,12,,6,1,-1,,2,-1,-1,0,1
3-CC,13,,6,1,-1,,2,-1,-1,0,1
3-CC,14,,6,1,-1,,2,-1,-1,0,1
3-CC,16,,6,1,-1,,2,-1,-1,0,1
3-CC,17,,6,1,-1,,2,-1,-1,0,1
3-CC,18,,6,1,-1,,2,-1,-1,0,1
3-CC,19,,6,1,-1,,2,-1,-1,0,1
3-CC,20,,6,1,-1,,2,-1,-1,0,1
3-CC,21,,6,1,-1,,2,-1,-1,0,1
3-CC,22,,6,1,-1,,2,-1,-1,0,1
3-CC,23,,6,1,-1,,2,-1,-1,0,1
3-CC,24,,6,1,-1,,2,-1,-1,0,1
3-CC,25,,6,1,-1,,2,-1,-1,0,1
3-CC,26,,6,1,-1,,2,-1,-1,0,1
3-CC,27,,6,1,-1,,2,-1,-1,0,1
3-CC,28,,6,1,-1,,2,-1,-1,0,1
3-RCC,1,,6.21,1,3,,2,-1,-1,0,1
3-RCC,2,,6.21,1,3,,2,-1,-1,0,1
3-RCC,4,,6.21,1,3,,2,-1,-1,0,1
3-RCC,5,,6.21,1,3,,2,-1,-1,0,1
3-RCC,6,,6.21,1,3,,2,-1,-1,0,1
3-RCC,7,,6.21,1,3,,2,-1,-1,0,1
3-RCC,8,,6.21,1,3,,2,-1,-1,0,1
3-RCC,9,,6.21,1,3,,2,-1,-1,0,1
3-RCC,10,,6.21,1,3,,2,-1,-1,0,1
3-RCC,11,,6.21,1,3,,2,-1,-1,0,1
3-RCC,12,,6.21,1,3,,2,-1,-1,0,1
3-RCC,13,,6.21,1,3,,2,-1,-1,0,1
3-RCC,14,,6.21,1,3,,2,-1,-1,0,1
3-RCC,16,,6.21,1,3,,2,-1,-1,0,1
3-RCC,17,,6.21,1,3,,2,-1,-1,0,1
3-RCC,18,,6.21,1,3,,2,-1,-1,0,1
3-RCC,19,,6.21,1,3,,2,-1,-1,0,1
3-RCC,20,,6.21,1,3,,2,-1,-1,0,1
3-RCC,21,,6.21,1,3,,2,-1,-1,0,1
3-RCC,22,,6.21,1,3,,2,-1,-1,0,1
3-RCC,23,,6.21,1,3,,2,-1,-1,0,1
3-RCC,24,,6.21,1,3,,2,-1,-1,0,1
3-RCC,25,,6.21,1,3,,2,-1,-1,0,1
3-RCC,26,,6.21,1,3,,2,-1,-1,0,1
3-RCC,27,,6.21,1,3,,2,-1,-1,0,1
3-RCC,28,,6.21,1,3,,2,-1,-1,0,1
5-SCS,1,,10,0.1,-1,,1,3,3,0,1
5-SCS,3,,10,0.1,-1,,1,3,3,0,1
5-SCS,5,,10,0.1,-1,,1,3,3,0,1
5-SCS,7,,10,0.1,-1,,1,3,3,0,1
5-PCS,1,,10,0.1,-1,,1,3,3,30,1
5-PCS,3,,10,0.1,-1,,1,3,3,30,1
5-PCS,5,,10,0.1,-1,,1,3,3,30,1
5-PCS,7,,10,0.1,-1,,1,3,3,30,1
6-spheroid,1,,8,0.18,-1,100,1,1,2,0,1
6-spheroid,4,,8,0.18,-1,100,1,1,2,0,1
7-PET,2,,10,0.1,-1,125.47,1,1,2,0,1
7-PET,4,,10,0.1,-1,125.47,1,1,2,0,1
7-PET,6,,10,0.1,-1,125.47,1,1,2,0,1
7-PS,2,,10,0.1,-1,125.47,1,2,1,0,1
7-PS,4,,10,0.1,-1,125.47,1,2,1,0,1
7-PS,6,,10,0.1,-1,125.47,1,2,1,0,1
9-donor B,1,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,2,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,6,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,7,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,8,,8,0.2,-1,81,2,-1,-1,2500,1
11-spheroid,1,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,2,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,3,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,4,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,5,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,6,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,7,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,8,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,9,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,10,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,11,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,12,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,13,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,14,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,15,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,16,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,17,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,18,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,19,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,20,,22,1,-1,100,2,-1,-1,0,1
12-spheroid,1,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,2,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,3,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,4,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,5,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,6,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,9,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,17,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,20,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,22,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,23,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,24,,8,0.6,-1,200,2,-1,8,800,1
13-5C,2,,8,0.015,-1,,2,-1,4,0,1
13-5C,4,,8,0.015,-1,,2,-1,4,0,1
13-5C,5,,8,0.015,-1,,2,-1,4,0,1
13-5C,6,,8,0.015,-1,,2,-1,4,0,1
13-5C,7,,8,0.015,-1,,2,-1,4,0,1
