Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-1,12,,8.0,1.3,1.0,-1.0
scaffold-1,13,,8.0,1.3,1.0,-1.0
scaffold-1,15,,8.0,1.3,1.0,-1.0
scaffold-1,16,,8.0,1.3,1.0,-1.0
scaffold-1,17,,8.0,1.3,1.0,-1.0
scaffold-1,18,,8.0,1.3,1.0,-1.0
scaffold-1,19,,8.0,1.3,1.0,-1.0
scaffold-1,20,,8.0,1.3,1.0,-1.0
scaffold-1,21,,8.0,1.3,1.0,-1.0
scaffold-1,22,,8.0,1.3,1.0,-1.0
scaffold-1,23,,8.0,1.3,1.0,-1.0
scaffold-1,24,,8.0,1.3,1.0,-1.0
scaffold-1,25,,8.0,1.3,1.0,-1.0
scaffold-1,26,,8.0,1.3,1.0,-1.0
scaffold-1,27,,8.0,1.3,1.0,-1.0
scaffold-1,28,,8.0,1.3,1.0,-1.0
scaffold-1,29,,8.0,1.3,1.0,-1.0
scaffold-1,30,,8.0,1.3,1.0,-1.0
scaffold-1,31,,8.0,1.3,1.0,-1.0
scaffold-1,32,,8.0,1.3,1.0,-1.0
scaffold-1,33,,8.0,1.3,1.0,-1.0
scaffold-1,34,,8.0,1.3,1.0,-1.0
scaffold-1,35,,8.0,1.3,1.0,-1.0
scaffold-1,36,,8.0,1.3,1.0,-1.0
scaffold-1,37,,8.0,1.3,1.0,-1.0
scaffold-1,38,,8.0,1.3,1.0,-1.0
scaffold-1,39,,8.0,1.3,1.0,-1.0
scaffold-1,40,,8.0,1.3,1.0,-1.0
scaffold-1,41,,8.0,1.3,1.0,-1.0
scaffold-1,42,,8.0,1.3,1.0,-1.0
scaffold-1,43,,8.0,1.3,1.0,-1.0
scaffold-1,44,,8.0,1.3,1.0,-1.0
scaffold-1,45,,8.0,1.3,1.0,-1.0
scaffold-1,46,,8.0,1.3,1.0,-1.0
scaffold-1,47,,8.0,1.3,1.0,-1.0
scaffold-1,48,,8.0,1.3,1.0,-1.0
scaffold-1,49,,8.0,1.3,1.0,-1.0
scaffold-1,50,,8.0,1.3,1.0,-1.0
scaffold-1,51,,8.0,1.3,1.0,-1.0
scaffold-1,52,,8.0,1.3,1.0,-1.0
