Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
10-3D terfenadine-iPSC,2,65.534,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,3,67.961,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,4,67.961,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,5,70.388,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,6,69.175,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,7,67.961,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,8,72.816,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,9,77.67,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
10-3D terfenadine-iPSC,10,74.029,1.26,2.75,0.8,-1.0,-1.0,-1.0,34,-1,-1,-1.0,2.0,2,1,5.0,-1.0,-1,-1,,0.25,,-1.0,1.0,-1
11-multi-organ,3,182.609,,0.15,0.25,23.0,,,-1,-1,-1,-1.0,1.0,1,2,,,2,1,,20.5,,-1.0,,-1
11-multi-organ,7,199.085,,0.15,0.25,23.0,,,-1,-1,-1,-1.0,1.0,1,2,,,2,1,,20.5,,-1.0,,-1
11-multi-organ,14,189.474,,0.15,0.25,23.0,,,-1,-1,-1,-1.0,1.0,1,2,,,2,1,,20.5,,-1.0,,-1
12-HepG2,2,38.749,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,3,50.269,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,4,55.505,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,6,95.302,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,8,64.407,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,10,38.225,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,12,51.84,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-HepG2,14,64.407,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,2,22.614,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,5,45.227,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,8,46.007,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,10,44.968,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,12,30.671,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,15,33.271,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,17,33.791,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
12-Device,21,30.671,1.0,,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,5.0,-1.0,-1,-1,0.01,1.0,0.05,-1.0,1.0,-1
13-0,1,26.441,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,0.0,0.2,-1.0,1.0,-1
13-0,5,25.198,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,0.0,0.2,-1.0,1.0,-1
13-0,10,20.339,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,0.0,0.2,-1.0,1.0,-1
13-0,15,17.627,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,0.0,0.2,-1.0,1.0,-1
13-25,1,30.395,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,25.0,0.2,-1.0,1.0,-1
13-25,5,28.927,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,25.0,0.2,-1.0,1.0,-1
13-25,10,25.65,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,25.0,0.2,-1.0,1.0,-1
13-25,15,22.825,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,25.0,0.2,-1.0,1.0,-1
13-50,1,35.706,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,50.0,0.2,-1.0,1.0,-1
13-50,5,34.237,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,50.0,0.2,-1.0,1.0,-1
13-50,10,33.559,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,50.0,0.2,-1.0,1.0,-1
13-50,15,31.751,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,50.0,0.2,-1.0,1.0,-1
13-75,1,34.35,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,75.0,0.2,-1.0,1.0,-1
13-75,5,30.847,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,75.0,0.2,-1.0,1.0,-1
13-75,10,26.667,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,75.0,0.2,-1.0,1.0,-1
13-75,15,24.972,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,75.0,0.2,-1.0,1.0,-1
13-100,1,34.35,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,100.0,0.2,-1.0,1.0,-1
13-100,5,28.023,10.0,50.0,-1.0,10.11,4.0,4.0,-1,-1,-1,,2.0,2,1,,1.0,-1,-1,,100.0,0.2,-1.0,1.0,-1
