Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
4-spheroid,4,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,6,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,8,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,9,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,11,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,13,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,15,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,16,,8,0.0667,-1,,2,-1,-1,0,1
4-spheroid,18,,8,0.0667,-1,,2,-1,-1,0,1
5-SCS,1,,10,0.1,-1,,1,3,3,0,1
5-SCS,3,,10,0.1,-1,,1,3,3,0,1
5-SCS,5,,10,0.1,-1,,1,3,3,0,1
5-SCS,7,,10,0.1,-1,,1,3,3,0,1
5-PCS,1,,10,0.1,-1,,1,3,3,30,1
5-PCS,3,,10,0.1,-1,,1,3,3,30,1
5-PCS,5,,10,0.1,-1,,1,3,3,30,1
5-PCS,7,,10,0.1,-1,,1,3,3,30,1
6-spheroid,1,,8,0.18,-1,100,1,1,2,0,1
6-spheroid,4,,8,0.18,-1,100,1,1,2,0,1
7-PET,2,,10,0.1,-1,125.47,1,1,2,0,1
7-PET,4,,10,0.1,-1,125.47,1,1,2,0,1
7-PET,6,,10,0.1,-1,125.47,1,1,2,0,1
7-PS,2,,10,0.1,-1,125.47,1,2,1,0,1
7-PS,4,,10,0.1,-1,125.47,1,2,1,0,1
7-PS,6,,10,0.1,-1,125.47,1,2,1,0,1
9-donor B,1,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,2,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,5,,8,0.2,-1,81,2,-1,-1,2500,1
9-donor B,9,,8,0.2,-1,81,2,-1,-1,2500,1
11-spheroid,1,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,2,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,3,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,4,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,5,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,6,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,7,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,8,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,9,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,10,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,11,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,12,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,13,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,14,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,15,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,16,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,17,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,18,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,19,,22,1,-1,100,2,-1,-1,0,1
11-spheroid,20,,22,1,-1,100,2,-1,-1,0,1
12-spheroid,1,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,2,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,3,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,4,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,5,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,6,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,11,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,19,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,20,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,22,,8,0.6,-1,200,2,-1,8,800,1
12-spheroid,24,,8,0.6,-1,200,2,-1,8,800,1
13-5C,2,,8,0.015,-1,,2,-1,4,0,1
