Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
4-static,22,364.528,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-dynamic,4,43.019,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,8,88.302,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,12,230.943,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,16,432.453,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,22,509.434,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
5-PET,3,0.298,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,6,0.339,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,9,0.364,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,12,0.323,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,15,0.295,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET-AAc,3,0.306,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,6,0.345,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,9,0.386,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,12,0.336,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,15,0.295,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
