Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
1-HepaRG,50,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,51,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,52,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,53,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,54,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,55,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,56,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,57,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,58,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,59,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,60,,6.0,0.02,-1.0,,2,-1,-1.0,0,1
2-spheroid,1,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,2,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,3,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,4,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,5,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,6,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,7,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,8,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,9,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,10,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,11,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,12,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,13,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,14,,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
