Feature,Day,Urea,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-9,3,,6,1,0.3,-1
scaffold-9,4,,6,1,0.3,-1
scaffold-9,5,,6,1,0.3,-1
scaffold-9,7,,6,1,0.3,-1
scaffold-9,8,,6,1,0.3,-1
scaffold-9,10,,6,1,0.3,-1
scaffold-9,11,,6,1,0.3,-1
scaffold-9,12,,6,1,0.3,-1
scaffold-9,13,,6,1,0.3,-1
scaffold-9,14,,6,1,0.3,-1
scaffold-11,2,,8,-1,4,-1
scaffold-11,4,,8,-1,4,-1
scaffold-11,6,,8,-1,4,-1
scaffold-11,2,,8.13,-1,0.1,0.3
scaffold-11,4,,8.13,-1,0.1,0.3
scaffold-11,6,,8.13,-1,0.1,0.3
scaffold-12,1,,9,-1,1,-1
scaffold-12,2,,9,-1,1,-1
scaffold-12,3,,9,-1,1,-1
scaffold-12,4,,9,-1,1,-1
scaffold-12,5,,9,-1,1,-1
scaffold-12,6,,9,-1,1,-1
scaffold-12,7,,9,-1,1,-1
scaffold-12,8,,9,-1,1,-1
scaffold-12,9,,9,-1,1,-1
scaffold-12,10,,9,-1,1,-1
scaffold-12,11,,9,-1,1,-1
scaffold-12,12,,9,-1,1,-1
scaffold-12,13,,9,-1,1,-1
scaffold-12,14,,9,-1,1,-1
scaffold-12,15,,9,-1,1,-1
scaffold-12,16,,9,-1,1,-1
scaffold-12,17,,9,-1,1,-1
scaffold-12,18,,9,-1,1,-1
scaffold-12,19,,9,-1,1,-1
scaffold-12,20,,9,-1,1,-1
scaffold-13,1,,10,2,0.8,-1
scaffold-13,2,,10,2,0.8,-1
scaffold-13,3,,10,2,0.8,-1
scaffold-13,4,,10,2,0.8,-1
scaffold-13,6,,10,2,0.8,-1
scaffold-13,7,,10,2,0.8,-1
scaffold-13,8,,10,2,0.8,-1
scaffold-13,10,,10,2,0.8,-1
scaffold-13,11,,10,2,0.8,-1
scaffold-13,13,,10,2,0.8,-1
scaffold-13,14,,10,2,0.8,-1
scaffold-17,2,,4,-1,2,-1
scaffold-17,3,,4,-1,2,-1
scaffold-17,5,,4,-1,2,-1
scaffold-17,6,,4,-1,2,-1
scaffold-17,8,,4,-1,2,-1
scaffold-17,9,,4,-1,2,-1
scaffold-17,11,,4,-1,2,-1
scaffold-17,12,,4,-1,2,-1
scaffold-17,2,,16,-1,2,-1
scaffold-17,3,,16,-1,2,-1
scaffold-17,5,,16,-1,2,-1
scaffold-17,6,,16,-1,2,-1
scaffold-17,8,,16,-1,2,-1
scaffold-17,9,,16,-1,2,-1
scaffold-17,11,,16,-1,2,-1
scaffold-17,12,,16,-1,2,-1
scaffold-18,1,,4,11,0.08,-1
scaffold-18,2,,4,11,0.08,-1
scaffold-18,4,,4,11,0.08,-1
scaffold-18,5,,4,11,0.08,-1
scaffold-18,6,,4,11,0.08,-1
scaffold-18,8,,4,11,0.08,-1
scaffold-19,1,,10,1,8,-1
scaffold-19,3,,10,1,8,-1
scaffold-19,5,,10,1,8,-1
scaffold-19,7,,10,1,8,-1
scaffold-19,9,,10,1,8,-1
scaffold-19,11,,10,1,8,-1
scaffold-19,13,,10,1,8,-1
scaffold-19,15,,10,1,8,-1
scaffold-19,17,,10,1,8,-1
scaffold-19,19,,10,1,8,-1
scaffold-19,21,,10,1,8,-1
scaffold-19,23,,10,1,8,-1
scaffold-21,1,,10,-1,0.75,-1
scaffold-21,3,,10,-1,0.75,-1
scaffold-21,5,,10,-1,0.75,-1
scaffold-21,7,,10,-1,0.75,-1
scaffold-21,9,,10,-1,0.75,-1
scaffold-21,10,,10,-1,0.75,-1
scaffold-21,11,,10,-1,0.75,-1
scaffold-21,12,,10,-1,0.75,-1
scaffold-21,13,,10,-1,0.75,-1
scaffold-21,15,,10,-1,0.75,-1
scaffold-21,16,,10,-1,0.75,-1
scaffold-21,17,,10,-1,0.75,-1
scaffold-21,18,,10,-1,0.75,-1
scaffold-21,19,,10,-1,0.75,-1
scaffold-21,1,,10.15,-1,0.75,0.15
scaffold-21,2,,10.15,-1,0.75,0.15
scaffold-21,5,,10.15,-1,0.75,0.15
scaffold-21,7,,10.15,-1,0.75,0.15
scaffold-21,9,,10.15,-1,0.75,0.15
scaffold-21,10,,10.15,-1,0.75,0.15
scaffold-21,11,,10.15,-1,0.75,0.15
scaffold-21,12,,10.15,-1,0.75,0.15
scaffold-21,13,,10.15,-1,0.75,0.15
scaffold-21,15,,10.15,-1,0.75,0.15
scaffold-21,16,,10.15,-1,0.75,0.15
scaffold-21,17,,10.15,-1,0.75,0.15
scaffold-21,18,,10.15,-1,0.75,0.15
scaffold-21,19,,10.15,-1,0.75,0.15
scaffold-22,1,,10,1,0.1,-1
scaffold-22,4,,10,1,0.1,-1
scaffold-22,6,,10,1,0.1,-1
scaffold-22,8,,10,1,0.1,-1
scaffold-25,1,,1,1,0.8,-1
scaffold-25,2,,1,1,0.8,-1
scaffold-25,3,,1,1,0.8,-1
scaffold-25,4,,1,1,0.8,-1
scaffold-25,5,,1,1,0.8,-1
scaffold-25,7,,1,1,0.8,-1
scaffold-25,9,,1,1,0.8,-1
scaffold-25,11,,1,1,0.8,-1
scaffold-25,13,,1,1,0.8,-1
scaffold-25,15,,1,1,0.8,-1
scaffold-25,17,,1,1,0.8,-1
scaffold-25,19,,1,1,0.8,-1
scaffold-25,21,,1,1,0.8,-1
scaffold-25,23,,1,1,0.8,-1
scaffold-25,25,,1,1,0.8,-1
scaffold-25,27,,1,1,0.8,-1
spheroid-1,1,,8,1,0.6,-1
spheroid-1,2,,8,1,0.6,-1
spheroid-1,3,,6,1,0.72,-1
spheroid-1,5,,6,1,0.72,-1
spheroid-1,6,,6,1,0.72,-1
spheroid-2,1,,19,1,0.02,-1
spheroid-2,2,,19,1,0.02,-1
spheroid-2,3,,19,1,0.02,-1
spheroid-2,4,,19,1,0.02,-1
spheroid-2,5,,19,1,0.02,-1
spheroid-2,6,,19,1,0.02,-1
spheroid-2,7,,19,1,0.02,-1
spheroid-2,8,,19,1,0.02,-1
spheroid-2,9,,19,1,0.02,-1
spheroid-2,10,,19,1,0.02,-1
spheroid-2,11,,19,1,0.02,-1
spheroid-2,12,,19,1,0.02,-1
spheroid-2,13,,19,1,0.02,-1
spheroid-2,14,,19,1,0.02,-1
spheroid-2,15,,19,1,0.02,-1
spheroid-2,16,,19,1,0.02,-1
spheroid-2,17,,19,1,0.02,-1
spheroid-2,19,,19,1,0.02,-1
spheroid-2,20,,19,1,0.02,-1
spheroid-2,22,,19,1,0.02,-1
spheroid-2,23,,19,1,0.02,-1
spheroid-2,25,,19,1,0.02,-1
spheroid-2,26,,19,1,0.02,-1
spheroid-6,1,,8,1,0.18,-1
spheroid-6,4,,8,1,0.18,-1
spheroid-13,2,,8,1,0.2,-1
spheroid-13,4,,8,1,0.2,-1
spheroid-13,5,,8,1,0.2,-1
spheroid-13,6,,8,1,0.2,-1
spheroid-13,7,,8,1,0.2,-1
spheroid-13,8,,8,1,0.2,-1
spheroid-13,10,,8,1,0.2,-1
spheroid-13,11,,8,1,0.2,-1
spheroid-13,13,,8,1,0.2,-1
spheroid-13,14,,8,1,0.2,-1
spheroid-13,16,,8,1,0.2,-1
spheroid-13,17,,8,1,0.2,-1
spheroid-13,19,,8,1,0.2,-1
spheroid-13,20,,8,1,0.2,-1
spheroid-13,21,,8,1,0.2,-1
spheroid-13,23,,8,1,0.2,-1
spheroid-13,24,,8,1,0.2,-1
spheroid-13,25,,8,1,0.2,-1
spheroid-13,26,,8,1,0.2,-1
spheroid-13,27,,8,1,0.2,-1
spheroid-13,28,,8,1,0.2,-1
chip-4,1,,8,1,0.2,-1
chip-4,3,,8,1,0.2,-1
chip-4,4,,8,1,0.2,-1
chip-4,6,,8,1,0.2,-1
chip-4,7,,8,1,0.2,-1
chip-4,8,,8,1,0.2,-1
chip-4,10,,8,1,0.2,-1
chip-4,11,,8,1,0.2,-1
chip-4,12,,8,1,0.2,-1
chip-5,1,,8,-1,1,-1
chip-5,2,,8,-1,1,-1
chip-5,4,,8,-1,1,-1
chip-5,5,,8,-1,1,-1
chip-5,6,,8,-1,1,-1
chip-8,1,,4,-1,0.2,-1
chip-8,3,,4,-1,0.2,-1
chip-8,4,,4,-1,0.2,-1
chip-8,6,,4,-1,0.2,-1
chip-8,7,,4,-1,0.2,-1
chip-8,9,,4,-1,0.2,-1
chip-8,10,,4,-1,0.2,-1
chip-8,12,,4,-1,0.2,-1
chip-8,13,,4,-1,0.2,-1
chip-17,1,,10,-1,0.1,-1
chip-17,3,,10,-1,0.1,-1
chip-17,5,,10,-1,0.1,-1
chip-17,7,,10,-1,0.1,-1
chip-17,9,,10,-1,0.1,-1
chip-17,10,,10,-1,0.1,-1
chip-17,11,,10,1,0.1,-1
chip-17,13,,10,1,0.1,-1
