Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
12-Static,2,0.788,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,5,0.745,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,8,1.533,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,10,3.285,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,12,2.19,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,15,2.759,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,17,2.978,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Static,21,1.708,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Device,2,0.613,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
12-Device,5,3.723,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
12-Device,8,3.285,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
12-Device,10,4.029,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
12-Device,12,9.241,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
12-Device,15,7.314,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
12-Device,17,6.394,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
